"","Word","Frequency","FreqSingular","Length","SynsetCount","meanRT"
"1","almond",4.204693,24,6,1.0986123,6.43296876190476
"2","ant",5.347108,69,3,1.0986123,6.32314
"3","apple",6.304449,315,5,1.0986123,6.24515742857143
"4","apricot",3.828641,26,7,1.3862944,6.36369514285714
"5","asparagus",3.663562,19,9,1.0986123,6.48150061904762
"6","avocado",3.433987,24,7,1.3862944,6.40315438095238
"7","banana",5.023881,74,6,1.0986123,6.3178220952381
"8","bat",5.918894,155,3,2.3025851,6.30758995238095
"9","beaver",3.951244,37,6,2.0794415,6.41990314285714
"10","bee",5.700444,118,3,1.0986123,6.29776161904762
"11","beetroot",3.555348,15,8,1.0986123,6.49338928571429
"12","blackberry",4.060443,26,10,1.3862944,6.39594661904762
"13","blueberry",2.484907,7,9,1.0986123,6.418705
"14","broccoli",2.833213,16,8,1.0986123,6.40856038095238
"15","bunny",3.332205,19,5,1.0986123,6.40915942857143
"16","butterfly",5.214936,88,9,1.0986123,6.40619571428571
"17","camel",6.109248,146,5,0.6931472,6.38598895238095
"18","carrot",4.976734,45,6,1.6094379,6.35000409523809
"19","cat",7.086738,739,3,2.1972246,6.26751842857143
"20","cherry",4.997212,83,6,1.6094379,6.34256547619048
"21","chicken",6.59987,534,7,1.7917595,6.28357609523809
"22","clove",3.663562,16,5,1.6094379,6.427672
"23","crocodile",4.615121,35,9,0.6931472,6.464146
"24","cucumber",4.454347,54,8,1.0986123,6.43932038095238
"25","dog",7.667626,1233,3,2.0794415,6.29556757142857
"26","dolphin",4.007333,24,7,1.0986123,6.36934847619048
"27","donkey",5.541264,162,6,1.0986123,6.32165485714286
"28","eagle",5.117994,129,5,1.7917595,6.3691880952381
"29","egplant",0,2,8,1.0986123,6.31021204761905
"30","elephant",6.063785,113,8,1.0986123,6.39536133333333
"31","fox",5.652489,177,3,1.9459101,6.33228809523809
"32","frog",5.129899,74,4,1.3862944,6.33351633333333
"33","gherkin",2.079442,4,7,1.0986123,6.55757995238095
"34","goat",6.228511,209,4,1.0986123,6.27497885714286
"35","goose",5.267858,103,5,1.3862944,6.33875928571429
"36","grape",5.192957,37,5,1.0986123,6.30355714285714
"37","gull",4.418841,23,4,1.0986123,6.46013576190476
"38","hedgehog",3.637586,21,8,1.0986123,6.56867176190476
"39","horse",7.77191,1518,5,2.0794415,6.43637561904762
"40","kiwi",3.044522,11,4,1.3862944,6.31726014285714
"41","leek",3.332205,5,4,1.0986123,6.45652514285714
"42","lemon",5.631212,233,5,1.6094379,6.26914457142857
"43","lettuce",4.812184,115,7,1.0986123,6.37531895238095
"44","lion",6.098074,152,4,1.0986123,6.30136704761905
"45","magpie",2.995732,13,6,1.0986123,6.5523650952381
"46","melon",4.127134,38,5,1.0986123,6.371231
"47","mole",4.60517,69,4,1.9459101,6.41497509523809
"48","monkey",5.783825,162,6,1.6094379,6.30749380952381
"49","moose",2.70805,7,5,0.6931472,6.36687242857143
"50","mouse",5.805135,146,5,1.6094379,6.31979095238095
"51","mushroom",5.537334,90,8,1.9459101,6.33650523809524
"52","mustard",4.442651,84,7,1.3862944,6.41767623809524
"53","olive",5.587249,160,5,1.9459101,6.29496261904762
"54","orange",6.378426,258,6,1.7917595,6.28495466666667
"55","owl",4.859812,54,3,0.6931472,6.35821866666667
"56","paprika",2.484907,11,7,1.0986123,6.50520542857143
"57","peanut",4.59512,49,6,1.6094379,6.29988333333333
"58","pear",4.727388,44,4,1.0986123,6.33528957142857
"59","pig",6.660575,320,3,2.3025851,6.25693938095238
"60","pineapple",3.988984,44,9,1.0986123,6.40219852380952
"61","potato",6.461468,206,6,1.0986123,6.36003404761905
"62","radish",3.044522,11,6,1.3862944,6.44752019047619
"63","reindeer",4.043051,28,8,0.6931472,6.52987804761905
"64","shark",5.880533,246,5,1.7917595,6.31793361904762
"65","sheep",6.577861,359,5,1.3862944,6.2984440952381
"66","snake",6.120297,251,5,1.9459101,6.33924404761905
"67","spider",4.844187,73,6,1.0986123,6.34005342857143
"68","squid",3.970292,23,5,1.0986123,6.40891228571429
"69","squirrel",4.70953,63,8,1.0986123,6.49034380952381
"70","stork",3.044522,13,5,0.6931472,6.56329138095238
"71","strawberry",4.75359,50,10,1.3862944,6.34746909523809
"72","swan",4.962845,88,4,1.3862944,6.37811633333333
"73","tomato",5.545177,123,6,1.0986123,6.34215219047619
"74","tortoise",4.624973,71,8,0.6931472,6.56344871428571
"75","vulture",4.248495,21,7,1.0986123,6.64997885714286
"76","walnut",4.49981,70,6,1.3862944,6.43614238095238
"77","wasp",4.682131,43,4,0.6931472,6.52923133333333
"78","whale",5.298317,104,5,1.3862944,6.35482538095238
"79","woodpecker",2.890372,11,10,0.6931472,6.45825623809524
